tier,pin,wind,aim_lateral_offset_yd,aim_carry_adjustment_yd,score_optimum,score_at_pin,score_center_aim,delta_vs_at_pin_strokes,verdict_label,strict_lateral_offset_yd,strict_carry_adjustment_yd,strict_score_optimum,layup_edge_strokes,layup_is_tossup
0,left,False,4.0,6.0,3.5148,3.5597,3.5773,0.0448,either works,4.0,6.0,3.5148,0.0,True
0,left,True,4.062,9.875,3.6709,3.7295,3.728,0.0586,bail,4.0,13.5,3.6668,0.0041,True
0,center,False,-1.0,4.0,3.4753,3.4996,3.4996,0.0243,either works,-2.25,3.0,3.4735,0.0017,True
0,center,True,-2.938,9.75,3.6383,3.691,3.691,0.0526,bail,-1.812,11.25,3.6359,0.0025,True
0,sunday,False,-7.062,-4.75,3.6541,3.7489,3.661,0.0948,bail,-7.062,-4.75,3.6541,0.0,True
0,sunday,True,-8.438,-5.688,3.8077,3.8754,3.8132,0.0677,bail,-8.438,-2.688,3.8053,0.0024,True
5,left,False,4.125,6.5,3.6332,3.6689,3.6877,0.0357,either works,4.125,6.5,3.6332,0.0,True
5,left,True,4.0,9.812,3.7772,3.8193,3.8196,0.0421,either works,4.0,13.5,3.7743,0.0029,True
5,center,False,-1.625,3.5,3.5917,3.613,3.613,0.0213,either works,-1.625,3.5,3.5917,0.0,True
5,center,True,-2.0,9.5,3.7443,3.7841,3.7841,0.0398,either works,-2.0,10.5,3.7438,0.0005,True
5,sunday,False,-7.0,-6.5,3.7725,3.8575,3.7822,0.0851,bail,-7.0,-6.5,3.7725,0.0,True
5,sunday,True,-9.0,-7.5,3.9139,3.9754,3.9139,0.0615,bail,-9.0,-7.125,3.9119,0.002,True
10,left,False,3.812,5.812,3.8454,3.8725,3.8817,0.0271,either works,5.0,7.0,3.8458,0.0,True
10,left,True,5.0,10.0,3.972,3.9994,3.9983,0.0274,either works,5.0,12.0,3.9705,0.0015,True
10,center,False,-1.0,4.0,3.8065,3.8194,3.8194,0.0129,either works,-2.25,2.75,3.8068,0.0,True
10,center,True,-2.0,9.5,3.9444,3.9663,3.9663,0.0219,either works,-0.5,11.0,3.9444,0.0,True
10,sunday,False,-7.0,-9.188,3.9865,4.0641,3.9944,0.0777,bail,-7.0,-9.188,3.9865,0.0,True
10,sunday,True,-7.875,-9.5,4.1039,4.1583,4.1082,0.0544,bail,-7.875,-8.312,4.106,0.0,True
15,left,False,5.5,5.75,3.9695,3.9873,4.0008,0.0178,either works,3.0,8.0,3.9664,0.0031,True
15,left,True,4.688,9.938,4.0829,4.1038,4.1049,0.0209,either works,3.875,12.812,4.0809,0.0021,True
15,center,False,-2.0,4.0,3.9267,3.9387,3.9387,0.0121,either works,-1.0,5.0,3.9265,0.0001,True
15,center,True,-1.562,10.0,4.0518,4.072,4.072,0.0202,either works,-1.5,12.5,4.0517,0.0001,True
15,sunday,False,-7.75,-9.625,4.1083,4.1779,4.1161,0.0696,bail,-6.438,-9.875,4.109,0.0,True
15,sunday,True,-8.0,-9.0,4.2123,4.2616,4.219,0.0493,either works,-7.938,-12.625,4.2128,0.0,True
20,left,False,3.875,9.812,4.1171,4.141,4.1477,0.0239,either works,3.875,6.875,4.1184,0.0,True
20,left,True,3.0,9.625,4.2176,4.2361,4.2359,0.0185,either works,4.875,14.375,4.2158,0.0018,True
20,center,False,-0.938,8.0,4.082,4.0996,4.0996,0.0177,either works,-0.938,8.0,4.082,0.0,True
20,center,True,-2.0,10.0,4.1921,4.2095,4.2095,0.0174,either works,1.0,14.0,4.1922,0.0,True
20,sunday,False,-8.0,-9.938,4.2633,4.3163,4.2711,0.0529,bail,-8.0,-11.5,4.2613,0.002,True
20,sunday,True,-8.688,-8.938,4.3524,4.3943,4.3591,0.042,either works,-11.812,-18.25,4.3441,0.0083,True
