tier,pin,wind,aim_lateral_offset_yd,aim_carry_adjustment_yd,score_optimum,score_at_pin,score_center_aim,delta_vs_at_pin_strokes,verdict_label,hit_search_boundary
0,left,False,3.5,7.5,3.5342,3.5955,3.6361,0.0613,bail,False
0,left,True,3.25,16.688,3.7294,3.8475,3.8748,0.1181,bail,False
0,center,False,-2.188,5.25,3.4953,3.5479,3.5479,0.0526,bail,False
0,center,True,-2.0,15.0,3.7005,3.8315,3.8315,0.131,bail,False
0,sunday,False,-7.5,-2.5,3.7113,3.8217,3.7276,0.1104,bail,False
0,sunday,True,-8.688,2.75,3.9127,4.0545,3.9686,0.1418,bail,False
5,left,False,3.812,9.062,3.6695,3.7307,3.7614,0.0613,bail,False
5,left,True,3.938,14.938,3.8645,3.9601,3.9731,0.0956,bail,False
5,center,False,-1.812,6.0,3.6295,3.6786,3.6786,0.0491,either works,False
5,center,True,-2.0,15.0,3.8309,3.9319,3.9319,0.101,bail,False
5,sunday,False,-7.062,-1.5,3.8589,3.9545,3.8688,0.0956,bail,False
5,sunday,True,-9.0,0.438,4.0576,4.1561,4.0837,0.0986,bail,False
10,left,False,3.938,8.938,3.9161,3.9608,3.9943,0.0447,either works,False
10,left,True,3.938,20.875,4.0963,4.1735,4.1858,0.0772,bail,False
10,center,False,-2.125,7.0,3.8764,3.9241,3.9241,0.0477,either works,False
10,center,True,-1.875,13.0,4.0689,4.1489,4.1489,0.08,bail,False
10,sunday,False,-8.125,-3.625,4.1218,4.2105,4.1343,0.0887,bail,False
10,sunday,True,-8.0,-1.0,4.3095,4.3777,4.3215,0.0682,bail,False
15,left,False,3.0,11.0,4.0644,4.0961,4.1302,0.0317,either works,False
15,left,True,3.0,17.0,4.2326,4.2903,4.3018,0.0577,bail,False
15,center,False,-1.75,9.25,4.0229,4.062,4.062,0.0391,either works,False
15,center,True,-3.0,14.0,4.2043,4.2649,4.2649,0.0605,bail,False
15,sunday,False,-9.0,-7.75,4.2777,4.3477,4.2848,0.07,bail,False
15,sunday,True,-10.875,-7.0,4.4499,4.5058,4.457,0.0558,bail,False
20,left,False,4.062,13.0,4.2444,4.2665,4.2866,0.0221,either works,False
20,left,True,6.125,21.0,4.3937,4.4353,4.4426,0.0416,either works,False
20,center,False,-1.0,10.938,4.2097,4.2338,4.2338,0.0241,either works,False
20,center,True,-2.0,16.875,4.3677,4.4145,4.4145,0.0468,either works,False
20,sunday,False,-9.0,-9.0,4.4669,4.5288,4.4705,0.062,bail,False
20,sunday,True,-14.0,-13.0,4.6094,4.6658,4.6223,0.0564,bail,False
